year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3,Sentinel-6MF,date
2019.728,125.56,,,,,9/22/2019
2019.7552,131.06,,,,,10/2/2019
2019.7823,131.26,,,,,10/12/2019
2019.8094,119.16,,,,,10/22/2019
2019.8366,116.06,,,,,11/1/2019
2019.8639,117.06,,,,,11/11/2019
2019.8911,114.26,,,,,11/21/2019
2019.918,101.36,,,,,12/1/2019
2019.9448,79.56,,,,,12/11/2019
2019.9724,70.36,,,,,12/21/2019
2019.9993,67.26,,,,,12/30/2019
2020.0265,74.26,,,,,1/9/2020
2020.0536,64.66,,,,,1/19/2020
2020.0753,48.06,,,,,1/27/2020
2020.1119,44.26,,,,,2/9/2020
2020.1356,39.26,,,,,2/18/2020
2020.1624,31.36,,,,,2/28/2020
2020.1897,33.46,,,,,3/9/2020
2020.2166,23.46,,,,,3/19/2020
2020.244,18.56,,,,,3/29/2020
2020.271,12.76,,,,,4/7/2020
2020.2981,15.46,,,,,4/17/2020
2020.3252,13.36,,,,,4/27/2020
2020.3525,6.16,,,,,5/7/2020
2020.3795,-0.94,,,,,5/17/2020
2020.4066,44.76,,,,,5/27/2020
2020.4339,44.66,,,,,6/6/2020
2020.4605,37.56,,,,,6/16/2020
2020.4882,54.66,,,,,6/26/2020
2020.5153,58.66,,,,,7/6/2020
2020.5425,77.16,,,,,7/16/2020
2020.5696,86.06,,,,,7/26/2020
2020.5967,104.56,,,,,8/4/2020
2020.624,97.86,,,,,8/14/2020
2020.651,106.96,,,,,8/24/2020
2020.6783,123.26,,,,,9/3/2020
2020.7054,120.66,,,,,9/13/2020
2020.7326,115.66,,,,,9/23/2020
2020.7596,116.96,,,,,10/3/2020
2020.7867,114.66,,,,,10/13/2020
2020.8116,120.46,,,,,10/22/2020
2020.8417,110.56,,,,,11/2/2020
2020.8683,128.76,,,,,11/12/2020
2020.8952,112.06,,,,,11/21/2020
2020.9225,97.06,,,,,12/1/2020
2020.9495,80.66,,,,,12/11/2020
2020.9767,85.86,,,,,12/21/2020
2020.9768,,,,,88.73,12/21/2020
2021.0041,65.66,,,,66.63,1/1/2021
2021.0308,,,,,54.93,1/11/2021
2021.031,53.46,,,,,1/11/2021
2021.0582,,,,,57.83,1/21/2021
2021.0583,56.26,,,,,1/21/2021
2021.0855,48.16,,,,,1/31/2021
2021.0856,,,,,50.63,1/31/2021
2021.1124,39.06,,,,,2/10/2021
2021.1126,,,,,42.13,2/10/2021
2021.1395,31.86,,,,35.73,2/19/2021
2021.1663,,,,,15.33,3/1/2021
2021.1669,12.86,,,,,3/1/2021
2021.194,13.16,,,,14.93,3/11/2021
2021.2211,7.66,,,,,3/21/2021
2021.2224,,,,,7.93,3/22/2021
2021.2484,11.26,,,,11.03,3/31/2021
2021.2755,26.46,,,,25.53,4/10/2021
2021.3019,29.66,,,,,4/20/2021
2021.3025,,,,,28.23,4/20/2021
2021.3297,25.96,,,,,4/30/2021
2021.3309,,,,,22.73,4/30/2021
2021.3569,26.66,,,,29.03,5/10/2021
2021.384,23.66,,,,,5/20/2021
2021.3841,,,,,24.93,5/20/2021
2021.4111,28.76,,,,27.53,5/30/2021
2021.4383,55.56,,,,53.43,6/9/2021
2021.4656,62.06,,,,,6/19/2021
2021.4658,,,,,60.73,6/19/2021
2021.4926,46.96,,,,43.53,6/28/2021
2021.5198,61.96,,,,61.03,7/8/2021
2021.5469,82.86,,,,78.03,7/18/2021
2021.5741,97.16,,,,95.13,7/28/2021
2021.6012,107.66,,,,106.53,8/7/2021
2021.6284,106.66,,,,103.13,8/17/2021
2021.6555,108.86,,,,107.53,8/27/2021
2021.6826,109.66,,,,106.83,9/6/2021
2021.7098,118.76,,,,,9/16/2021
2021.7101,,,,,119.13,9/16/2021
2021.7369,,,,,127.23,9/26/2021
2021.737,128.36,,,,,9/26/2021
2021.764,,,,,145.33,10/6/2021
2021.7641,144.76,,,,,10/6/2021
2021.7912,147.46,,,,147.83,10/15/2021
2021.8184,145.76,,,,145.93,10/25/2021
2021.8454,128.86,,,,127.13,11/4/2021
2021.8728,128.56,,,,129.63,11/14/2021
2021.8998,115.36,,,,114.83,11/24/2021
2021.9269,94.26,,,,94.83,12/4/2021
2021.9544,104.46,,,,106.03,12/14/2021
2021.9813,84.76,,,,,12/24/2021
2021.9814,,,,,88.03,12/24/2021
2022.008,82.96,,,,85.73,1/2/2022
2022.0358,70.86,,,,72.73,1/13/2022
2022.0627,,,,,54.83,1/22/2022
2022.0629,53.46,,,,,1/22/2022
2022.0897,55.46,,,,57.83,2/1/2022
2022.1172,38.26,,,,,2/11/2022
2022.1175,,,,,41.33,2/11/2022
2022.1436,42.76,,,,47.13,2/21/2022
2022.1713,25.86,,,,31.33,3/3/2022
2022.1984,18.56,,,,23.43,3/13/2022
2022.2256,,,,,19.03,3/23/2022
2022.2257,17.76,,,,,3/23/2022
2022.2528,6.26,,,,8.73,4/2/2022
2022.28,,,,,15.33,4/12/2022
2022.3072,,,,,19.83,4/22/2022
2022.3201,-7.14,,,,,4/26/2022
2022.3343,,,,,8.33,5/2/2022
2022.3395,14.56,,,,,5/4/2022
2022.3615,,,,,45.73,5/12/2022
2022.3667,51.66,,,,,5/13/2022
2022.3884,,,,,39.03,5/21/2022
2022.3938,38.56,,,,,5/23/2022
2022.4156,,,,,44.83,5/31/2022
2022.4209,49.06,,,,,6/2/2022
2022.4428,,,,,61.13,6/10/2022
2022.4481,70.26,,,,,6/12/2022
2022.47,,,,,74.43,6/20/2022
2022.4753,76.16,,,,,6/22/2022
2022.4971,,,,,62.13,6/30/2022
2022.5024,73.16,,,,,7/2/2022
2022.5243,,,,,75.93,7/10/2022
2022.5295,85.26,,,,,7/12/2022
2022.5515,,,,,93.13,7/20/2022
2022.5567,99.36,,,,,7/22/2022
2022.5786,,,,,105.53,7/30/2022
2022.5839,109.56,,,,,8/1/2022
2022.6056,,,,,101.93,8/9/2022
2022.6109,105.16,,,,,8/11/2022
2022.6329,,,,,109.93,8/19/2022
2022.6381,107.06,,,,,8/21/2022
2022.66,,,,,106.03,8/29/2022
2022.6653,112.56,,,,,8/31/2022
2022.687,,,,,129.93,9/7/2022
2022.6925,136.86,,,,,9/9/2022
2022.7143,,,,,137.53,9/17/2022
2022.7196,139.46,,,,,9/19/2022
2022.7416,,,,,141.73,9/27/2022
2022.7468,140.26,,,,,9/29/2022
2022.7686,,,,,140.73,10/7/2022
2022.7738,137.16,,,,,10/9/2022
2022.7957,,,,,135.53,10/17/2022
2022.801,133.86,,,,,10/19/2022
2022.8229,,,,,133.63,10/27/2022
2022.8282,135.06,,,,,10/29/2022
2022.8502,,,,,136.83,11/6/2022
2022.8555,133.36,,,,,11/8/2022
2022.8772,,,,,143.53,11/16/2022
2022.8824,140.26,,,,,11/18/2022
2022.9046,,,,,124.53,11/26/2022
2022.9098,122.56,,,,,11/28/2022
2022.9313,,,,,107.43,12/6/2022
2022.936,102.66,,,,,12/7/2022
2022.9586,,,,,110.73,12/16/2022
2022.9637,106.36,,,,,12/17/2022
2022.9858,,,,,83.33,12/26/2022
2022.9909,81.06,,,,,12/27/2022
2023.0129,,,,,86.73,1/4/2023
2023.0179,85.46,,,,,1/6/2023
2023.04,,,,,75.83,1/14/2023
2023.0453,71.66,,,,,1/16/2023
2023.0673,,,,,65.43,1/24/2023
2023.0724,62.66,,,,,1/26/2023
2023.0943,,,,,65.03,2/3/2023
2023.0996,59.96,,,,,2/5/2023
2023.1215,,,,,48.13,2/13/2023
2023.1266,40.46,,,,,2/15/2023
2023.1481,,,,,22.83,2/23/2023
2023.1535,23.76,,,,,2/25/2023
2023.1761,,,,,44.13,3/5/2023
2023.1811,51.06,,,,,3/7/2023
2023.203,,,,,39.13,3/15/2023
2023.2082,37.26,,,,,3/17/2023
2023.23,,,,,23.33,3/25/2023
2023.2354,25.96,,,,,3/26/2023
2023.2572,,,,,48.03,4/3/2023
2023.2626,41.26,,,,,4/5/2023
2023.2845,,,,,32.23,4/13/2023
2023.2896,30.86,,,,,4/15/2023
2023.3115,,,,,33.73,4/23/2023
2023.3168,40.06,,,,,4/25/2023
2023.3388,,,,,31.73,5/3/2023
2023.3439,31.96,,,,,5/5/2023
2023.3658,,,,,33.83,5/13/2023
2023.3711,36.06,,,,,5/15/2023
2023.3929,,,,,42.03,5/23/2023
2023.3983,38.26,,,,,5/25/2023
2023.4201,,,,,50.23,6/2/2023
2023.4254,48.16,,,,,6/4/2023
2023.4473,,,,,55.53,6/12/2023
2023.4526,59.16,,,,,6/14/2023
2023.4746,,,,,67.23,6/22/2023
2023.4798,69.26,,,,,6/24/2023
2023.5015,,,,,85.23,7/2/2023
2023.5069,86.06,,,,,7/4/2023
2023.5287,,,,,93.03,7/12/2023
2023.534,93.56,,,,,7/14/2023
2023.556,,,,,83.23,7/22/2023
2023.5613,84.76,,,,,7/24/2023
2023.5829,,,,,95.23,7/31/2023
2023.5882,105.16,,,,,8/2/2023
2023.6102,,,,,112.23,8/10/2023
2023.6154,113.86,,,,,8/12/2023
2023.6375,,,,,106.53,8/20/2023
2023.6426,111.56,,,,,8/22/2023
2023.6643,,,,,128.33,8/30/2023
2023.6698,125.96,,,,,9/1/2023
2023.6916,,,,,126.23,9/9/2023
2023.6968,131.36,,,,,9/11/2023
2023.7188,,,,,135.63,9/19/2023
2023.7241,136.36,,,,,9/21/2023
2023.7459,,,,,145.13,9/29/2023
2023.7513,139.36,,,,,10/1/2023
2023.7731,,,,,150.13,10/9/2023
2023.7784,146.96,,,,,10/11/2023
2023.8002,,,,,135.93,10/19/2023
2023.8056,130.16,,,,,10/21/2023
2023.8273,,,,,145.83,10/29/2023
2023.8545,,,,,134.23,11/8/2023
2023.8816,,,,,113.13,11/18/2023
2023.887,112.06,,,,,11/19/2023
2023.9088,,,,,100.23,11/27/2023
2023.914,98.06,,,,,11/29/2023
2023.9361,,,,,96.23,12/7/2023
2023.9414,98.36,,,,,12/9/2023
2023.9684,105.86,,,,,12/19/2023
2023.9956,98.66,,,,,12/29/2023
2024.0227,97.16,,,,,1/8/2024
2024.0496,69.26,,,,,1/18/2024
2024.077,58.06,,,,,1/28/2024
2024.1041,54.26,,,,,2/7/2024
2024.1309,59.76,,,,,2/16/2024
2024.1476,74.56,,,,,2/22/2024
