,SO2,CO,PM_10,NO2,TOPEX/Poseidon
0,5.752377425,0.648313538,22.96,13.6321428,-10.811556430682183
1,7.284352975,0.652205423,21.59863416,14.7011906,-41.229686419696584
2,3.087458658,0.746925346,21.59863416,9.7642096,-68.77016354342159
3,3.918103675,0.7794005,29.0,14.5107142,-59.652331283010966
4,5.086907974,0.559293857,18.80555556,11.4988098,-35.89256880410476
5,2.117584333,0.6716225,68.22857143,7.225,-11.769045697753434
6,3.937196475,0.705448692,32.0,8.5333332,6.49618915697676
7,5.0730389,0.756765577,19.5,10.317857,21.58052215280068
8,5.835407286,0.819726321,33.0,18.4100002,79.24583345061944
9,4.070405462,0.3690465,17.0,2.9833334,75.0705169632526
10,5.226192167,1.136139567,32.0,25.4065624,20.38301432369882
11,4.571628525,0.961177929,26.0,17.1333334,-41.77081674957208
12,6.630103381,0.780277321,14.0,10.499892,-82.32581885971092
13,6.04252885,0.8179349,30.0,15.604762,-45.31400453079784
14,9.135604211,0.7463257,31.0,12.5440476,-70.91232165616167
15,4.204983762,0.6194444,24.0,12.47916675,-42.76245074900495
16,4.793199095,0.743749967,30.0,13.2249998,-19.03070781023568
17,5.237011273,0.7735606,23.0,9.0407724,-16.06424522423719
18,3.137077548,0.646279714,24.78125,11.575,-9.671057909887086
19,5.41189825,1.0126503,34.0,13.64488625,34.16195356787489
20,5.023510705,0.9218056,22.0,19.5499998,32.14743450176648
21,2.396404048,0.9288054,18.0,14.8111672,40.967930425692565
22,4.161144705,0.8352103,15.5,11.8506192,47.612481875940404
23,2.279143167,1.2261177,20.0,19.5928572,-20.59729746227423
24,4.232407591,1.043992533,25.0,15.3007576,-100.31029691699294
25,1.924829045,1.0660265,21.59863416,12.5416666,-76.19575294227188
26,4.997833977,1.153450033,32.0,15.3982458,-34.233418541774924
27,3.639692478,0.6450631,17.0,11.1249998,-49.856600943565894
28,3.579032174,0.886344107,26.0,11.3995098,-13.435213990842565
29,3.03657213,0.974045867,59.0,8.9282608,7.158403722423028
30,3.537254614,0.711945,32.0,10.434524,31.130083580084705
31,2.145320304,0.957612567,27.69444444,17.524026,74.54065396645069
32,1.9100705,0.712399,19.05714286,8.947727,119.89749105201362
33,4.51812575,0.862188167,26.0,17.5671052,59.80523536565295
34,5.144832326,0.9651971,30.0,19.626087,3.8191998772939826
35,3.831025526,0.791712267,14.0,11.3666668,-48.88
36,4.439133,0.897343,19.0,10.634091,-50.329341797875955
37,3.677386891,0.856616333,26.0,11.82872983,-91.63242798658192
38,3.457006614,0.6674748,12.5,8.6805555,-89.07920430440096
39,4.294100391,0.707411,14.0,8.274116167,-81.54619157870566
40,3.348979477,0.759523,30.5,12.31250017,-63.19039282325097
41,3.674803125,0.633434367,26.5,10.53472217,-78.27801189275866
42,2.504289,0.855378219,28.5,9.476912,-11.659934739590913
43,5.556285023,0.8365467,18.66666667,9.431547667,-3.506736836939994
44,6.885383955,0.875750563,17.625,10.54661817,70.38703429742792
45,3.36060169,1.2493488,22.5,10.97796829,61.90299407350488
46,3.0542877,0.695833233,22.5,4.965277667,14.801667890358088
47,5.332246675,1.1480714,23.0,14.99999986,-44.7420987181359
48,3.814310925,0.787040607,17.33333333,10.628788,-45.98
49,3.87821425,0.77127975,28.66666667,6.711180143,-52.766214836218154
50,5.62236745,0.534162464,20.0,8.033730143,-58.48
51,2.743649595,0.866860786,30.0,7.151190571,-29.68
52,2.917155952,0.570386929,20.25,5.186224429,-44.39221008941566
53,1.775469976,0.941300929,27.33333333,4.802893857,-14.15101323552243
54,2.719656333,0.793560654,23.33333333,8.385946,8.737724900821926
55,4.71804215,0.731944458,23.66666667,10.195238,34.94053242161998
56,3.108911548,0.973590429,31.75,9.776190571,42.43968042141855
57,1.852992023,0.923160143,20.05128205,10.43607686,21.758931208526327
58,1.366098523,0.6377165,12.89189189,7.305952429,-14.967402105720364
59,4.831706295,0.762806714,18.75,10.34370483,-76.8002611763633
60,6.428765,0.953205115,20.75,14.47619029,-33.637271682486706
61,2.825733432,0.779166731,21.55555556,13.70138917,-43.814949383483295
62,1.787162391,0.769086346,26.75,7.867236,-69.90581773791025
63,1.790041063,0.776988643,18.0,12.43987314,-44.282868365801505
64,2.868055152,0.567354036,15.0,5.401190429,-11.28
65,2.509761542,0.746158071,39.0,5.637200571,-26.48
66,3.973291438,0.889570286,51.0,10.02267571,-10.919610002630943
67,3.648699208,0.893890179,27.0,8.4156,70.64243285289895
68,3.52404331,0.559508083,22.0,8.873376667,68.01809431374743
69,5.431193938,0.983814115,35.0,12.29166667,92.22718952481212
70,2.68864125,0.943111917,31.0,14.96987671,-23.717352891176784
71,8.7207844,0.854119333,23.07407407,19.08719333,-3.0759535672541127
72,2.60478626,0.673263875,26.0,13.12380957,-17.309586883261776
73,1.12493825,0.6794395,18.0,6.911607125,-28.614383472983576
