Date,pm10,CO,SO2,NO2
4/11/1993,12,0.666304768,3.560523744,11.79551139
4/12/1993,24,0.95926169,4.356287573,18.13279706
4/13/1993,22.51428571,0.860968845,4.613070341,14.8902485
4/14/1993,28,0.922516183,7.018962915,19.53684044
4/15/1993,49,0.671890383,4.22085889,13.18065476
4/16/1993,23,0.6741888,3.988219232,11.892041
4/17/1993,25,0.604836983,4.894351244,10.53476882
4/18/1993,20,0.595594833,4.820433146,11.93059147
4/19/1993,22.90140845,0.8180688,7.861209634,17.77837576
4/20/1993,23,0.64930835,5.484187963,13.29560012
4/21/1993,34,0.750892117,5.075232037,15.55318876
4/22/1993,25,0.674333783,3.793242439,12.43149659
4/23/1993,24,0.698282733,5.048954793,14.52280094
4/24/1993,29,0.6578623,5.263994951,14.63044541
4/25/1993,26.35211268,0.50528685,4.328350768,9.510816176
4/26/1993,32,0.6823037,3.827586902,11.83619994
4/27/1993,30,0.700288183,4.068511646,11.480148
4/28/1993,19.5,0.780678617,5.370142037,19.42204359
4/29/1993,31,0.890328672,7.490374817,21.56230635
4/30/1993,31,0.928921379,5.638381268,20.78154906
5/1/1993,23.36111111,0.753935552,6.043675817,18.29827359
5/2/1993,32,0.658680034,4.650327976,13.1118545
5/3/1993,28,0.638336759,3.945351963,11.5497115
5/4/1993,18.66666667,0.695983224,4.146030525,11.32718978
5/5/1993,19.12189804,0.680537793,3.713476,11.47362122
5/6/1993,19.12189804,0.741009283,4.827093125,13.75683372
5/7/1993,19.36619718,0.866536317,4.550048537,13.67907641
5/8/1993,19.12189804,0.702011448,4.07688811,12.29163465
5/9/1993,19.12189804,0.615589069,4.824467841,11.47437124
5/10/1993,15,0.78133631,4.944039366,15.40897082
5/11/1993,19.12189804,0.777017948,6.2102808,15.98284994
5/12/1993,19.12189804,0.675409733,5.303270288,15.41532638
5/13/1993,21.46478873,0.7890466,4.254260113,15.93182819
5/14/1993,20,0.790054733,4.02027972,15.77630206
5/15/1993,26,0.702131567,4.216404744,16.10965813
